product_category_name_english,customer_state,loyal_customers
agro_industry_and_commerce,BA,2
agro_industry_and_commerce,CE,1
agro_industry_and_commerce,GO,1
agro_industry_and_commerce,MG,3
agro_industry_and_commerce,PR,1
agro_industry_and_commerce,RJ,2
agro_industry_and_commerce,SP,9
air_conditioning,GO,1
air_conditioning,MG,2
air_conditioning,MT,2
air_conditioning,PR,5
air_conditioning,RJ,12
air_conditioning,RS,4
air_conditioning,SC,1
air_conditioning,SP,19
art,ES,1
art,PI,1
art,PR,1
art,RJ,2
art,RS,1
art,SP,2
arts_and_craftmanship,MG,2
arts_and_craftmanship,SP,4
audio,ES,1
audio,MG,2
audio,PR,3
audio,RJ,7
audio,SC,1
audio,SP,8
auto,AL,1
auto,AM,1
auto,BA,12
auto,CE,3
auto,DF,7
auto,ES,7
auto,GO,4
auto,MA,1
auto,MG,39
auto,MS,2
auto,MT,4
auto,PA,7
auto,PE,5
auto,PI,3
auto,PR,22
auto,RJ,37
auto,RN,2
auto,RS,11
auto,SC,15
auto,SE,1
auto,SP,137
baby,BA,4
baby,CE,2
baby,DF,6
baby,GO,2
baby,MA,1
baby,MG,29
baby,MS,3
baby,MT,1
baby,PA,2
baby,PE,1
baby,PI,2
baby,PR,10
baby,RJ,24
baby,RN,1
baby,RS,17
baby,SC,6
baby,SP,105
bed_bath_table,AC,1
bed_bath_table,AL,1
bed_bath_table,AM,1
bed_bath_table,AP,2
bed_bath_table,BA,34
bed_bath_table,CE,13
bed_bath_table,DF,37
bed_bath_table,ES,29
bed_bath_table,GO,38
bed_bath_table,MA,4
bed_bath_table,MG,203
bed_bath_table,MS,10
bed_bath_table,MT,14
bed_bath_table,PA,7
bed_bath_table,PB,4
bed_bath_table,PE,11
bed_bath_table,PI,8
bed_bath_table,PR,62
bed_bath_table,RJ,242
bed_bath_table,RN,6
bed_bath_table,RO,1
bed_bath_table,RR,1
bed_bath_table,RS,77
bed_bath_table,SC,54
bed_bath_table,SE,1
bed_bath_table,SP,725
bed_bath_table,TO,1
books_general_interest,AL,1
books_general_interest,DF,1
books_general_interest,ES,1
books_general_interest,GO,1
books_general_interest,MG,2
books_general_interest,MT,1
books_general_interest,PA,1
books_general_interest,PB,1
books_general_interest,PE,1
books_general_interest,PR,2
books_general_interest,RJ,1
books_general_interest,RN,4
books_general_interest,RS,2
books_general_interest,SC,4
books_general_interest,SP,22
books_imported,MG,1
books_imported,PA,1
books_imported,RJ,1
books_imported,SP,5
books_technical,DF,1
books_technical,GO,1
books_technical,MG,4
books_technical,SC,1
books_technical,SP,3
cds_dvds_musicals,RS,2
christmas_supplies,BA,1
christmas_supplies,DF,2
christmas_supplies,MG,3
christmas_supplies,MS,1
christmas_supplies,PA,1
christmas_supplies,RJ,4
christmas_supplies,RS,1
christmas_supplies,SC,2
christmas_supplies,SP,3
cine_photo,PA,1
cine_photo,RJ,1
cine_photo,RS,1
cine_photo,SP,3
computers,BA,4
computers,DF,1
computers,GO,2
computers,MG,1
computers,PE,2
computers,RJ,1
computers,SP,7
computers_accessories,AC,1
computers_accessories,AL,6
computers_accessories,AM,2
computers_accessories,AP,2
computers_accessories,BA,24
computers_accessories,CE,4
computers_accessories,DF,22
computers_accessories,ES,11
computers_accessories,GO,13
computers_accessories,MA,5
computers_accessories,MG,108
computers_accessories,MS,8
computers_accessories,MT,8
computers_accessories,PA,5
computers_accessories,PB,6
computers_accessories,PE,5
computers_accessories,PR,42
computers_accessories,RJ,123
computers_accessories,RN,5
computers_accessories,RO,3
computers_accessories,RS,63
computers_accessories,SC,44
computers_accessories,SE,3
computers_accessories,SP,361
computers_accessories,TO,2
consoles_games,BA,3
consoles_games,ES,2
consoles_games,GO,1
consoles_games,MG,7
consoles_games,PE,1
consoles_games,PI,1
consoles_games,PR,3
consoles_games,RJ,8
consoles_games,RS,3
consoles_games,SC,2
consoles_games,SE,1
consoles_games,SP,44
consoles_games,TO,1
construction_tools_construction,BA,6
construction_tools_construction,CE,1
construction_tools_construction,DF,1
construction_tools_construction,ES,3
construction_tools_construction,GO,3
construction_tools_construction,MG,10
construction_tools_construction,MS,3
construction_tools_construction,PE,2
construction_tools_construction,PR,5
construction_tools_construction,RJ,11
construction_tools_construction,RN,1
construction_tools_construction,RS,8
construction_tools_construction,SC,5
construction_tools_construction,SP,53
construction_tools_lights,ES,2
construction_tools_lights,MG,4
construction_tools_lights,MS,1
construction_tools_lights,RJ,4
construction_tools_lights,RS,5
construction_tools_lights,SC,2
construction_tools_lights,SP,25
construction_tools_lights,TO,1
construction_tools_safety,MG,3
construction_tools_safety,PB,1
construction_tools_safety,PR,4
construction_tools_safety,RJ,1
construction_tools_safety,RS,1
construction_tools_safety,SC,1
construction_tools_safety,SP,6
cool_stuff,AL,1
cool_stuff,BA,11
cool_stuff,CE,3
cool_stuff,DF,4
cool_stuff,ES,3
cool_stuff,GO,11
cool_stuff,MG,24
cool_stuff,MS,3
cool_stuff,MT,1
cool_stuff,PA,2
cool_stuff,PB,5
cool_stuff,PE,3
cool_stuff,PR,16
cool_stuff,RJ,22
cool_stuff,RN,1
cool_stuff,RO,1
cool_stuff,RS,11
cool_stuff,SC,7
cool_stuff,SP,66
cool_stuff,TO,1
costruction_tools_garden,AM,1
costruction_tools_garden,BA,1
costruction_tools_garden,CE,2
costruction_tools_garden,ES,1
costruction_tools_garden,GO,1
costruction_tools_garden,MG,10
costruction_tools_garden,PR,1
costruction_tools_garden,RJ,10
costruction_tools_garden,SC,2
